symbol	P5482_SR_01	P5482_SR_02	P5482_SR_05	P5482_SR_06	P5482_SR_08	P5482_SR_09	P5482_SR_10	P5482_SR_11	P5482_SR_12	P5482_SR_13	P5482_SR_14	P5482_SR_15
Gm20906	0	0	0	0	0	0	0	0	0	0	0	0
Gm20907	0	0	0	0	0	0	0	0	0	0	0	0
Gm20908	0	0	0	0	0	0	0	0	0	0	0	0
Gm20909	0	0	0	0	0	0	0	0	0	0	0	0
Gm20910	0	0	0	0	0	0	0	0	0	0	0	0
Gm20911	0	0	0	0	0	0	0	0	0	0	0	0
Gm20912	0	0	0	0	0	0	0	0	0	0	0	0
Gm20913	0	0	0	0	0	0	0	0	0	0	0	0
Gm20914	0	0	0	0	0	0	0	0	0	0	0	0
Gm20915	0	0	0	0	0	0	0	0	0	0	0	0
Gm20916	0	0	0	0	0	0	0	0	0	0	0	0
Gm20917	0	0	0	0	0	0	0	0	0	0	0	0
Gm20918	0	0	0	0	0	0	0	0	0	0	0	0
Gm20919	0	0	0	0	0	0	0	0	0	0	0	0
Gm2092	0	0	0	0	0	0	0	0	0	0	0	0
Gm20920	0	0	0	0	0	0	0	0	0	0	0	0
Gm20921	0	0	0	0	0	0	0	0	0	0	0	0
Gm20922	0	0	0	0	0	0	0	0	0	0	0	0
Gm20923	0	0	0	0	0	0	0	0	0	0	0	0
Gm20924	0	0	0	0	0	0	0	0	0	0	0	0
Gm20925	0	0	0	0	0	0	0	0	0	0	0	0
Gm20926	0	0	0	0	0	0	0	0	0	0	0	0
Gm20927	0	0	0	0	0	0	0	0	0	0	0	0
Gm20928	0	0	0	0	0	0	0	0	0	0	0	0
Gm20929	0	0	0	0	0	0	0	0	0	0	0	0
Gm2093	8	4	5	0	10	12	3	0	2	8	9	1
Gm20930	0	0	0	0	0	0	0	0	0	0	0	0
Gm20931	0	0	0	0	0	0	0	0	0	0	0	0
Gm20932	0	0	0	0	0	0	0	0	0	0	0	0
Gm20933	0	0	0	0	0	0	0	0	0	0	0	0
Gm20934	0	0	0	0	0	0	0	0	0	0	0	0
Gm20935	0	0	0	0	0	0	0	0	0	0	0	0
Gm20936	0	0	0	0	0	0	0	0	0	0	0	0
Gm20937	0	0	0	0	0	0	0	0	0	0	0	0
Gm20939	284	272	311	186	359	193	341	173	399	419	403	526
Gm20940	0	0	0	0	0	0	0	0	0	0	3	0
Gm20942	0	0	0	0	0	0	1	0	0	0	0	0
Gm20945	1	1	0	0	3	2	0	0	0	0	1	0
Gm20946	1	0	0	0	0	0	0	0	0	0	0	0
Gm20948	0	0	0	0	0	0	0	0	0	0	0	0
Gm20949	0	7	7	0	4	0	0	8	4	3	7	2
Gm20953	1	1	5	15	7	5	4	3	4	0	2	1
Gm20954	0	0	0	0	0	0	0	0	0	0	0	0
Gm20963	0	0	0	0	0	0	0	0	0	0	0	0
Gm20978	0	0	0	0	0	0	0	0	0	0	0	0
Gm2098	0	0	0	0	0	0	0	0	0	0	0	0
Gm20987	0	0	0	0	0	0	0	0	0	0	0	0
Gm2099	20	13	9	10	6	37	8	22	23	33	22	7
Gm20997	0	0	0	0	0	0	0	0	0	0	0	0
Gm21006	0	0	0	0	0	0	0	0	0	0	0	0
Gm21007	0	0	0	0	0	0	0	0	0	0	0	0
Gm21009	0	0	0	0	0	0	0	0	0	0	0	0
Gm2101	0	0	0	0	0	0	0	0	0	0	0	0
Gm21010	0	0	0	0	0	0	0	0	0	0	0	0
Gm21013	0	0	0	0	0	0	0	0	0	0	0	0
Gm21018	0	0	2	0	0	0	0	0	2	0	0	0
Gm2102	0	0	0	0	0	0	0	0	0	0	0	0
Gm21021	0	0	0	0	0	0	0	0	0	0	1	1
Gm21026	0	0	0	0	0	0	0	0	0	0	0	0
Gm21027	0	0	0	0	0	0	0	0	0	0	0	0
Gm21028	0	0	0	22	0	0	0	0	0	0	0	0
Gm21032	0	0	0	0	0	0	0	0	0	0	0	0
Gm21033	0	0	0	0	0	0	0	0	0	0	0	0
Gm21034	0	0	0	0	0	0	0	0	0	0	0	0
Gm21035	0	0	0	0	0	0	0	0	0	0	0	0
Gm21036	0	0	0	0	0	0	0	0	0	0	0	1
Gm21037	0	0	0	0	0	5	0	0	0	1	0	0
Gm21038	0	0	0	0	0	0	0	0	0	0	0	0
Gm21039	2	3	0	0	0	1	0	0	0	0	0	0
Gm21040	0	0	0	0	0	0	0	0	0	0	0	0
Gm21041	0	0	0	0	0	0	0	0	0	0	0	0
Gm21043	0	0	0	0	0	0	0	0	0	0	0	1
Gm21045	0	0	0	0	0	0	0	0	0	0	0	0
Gm21046	0	0	0	0	0	17	0	0	0	0	0	0
Gm21048	0	0	0	0	0	0	0	0	1	0	0	2
Gm21049	0	0	0	0	0	6	0	0	1	0	0	0
Gm21050	0	0	2	0	0	0	4	0	0	0	0	0
Gm21051	0	0	0	0	0	0	0	0	0	0	0	0
Gm21054	0	2	0	0	0	0	0	0	0	0	0	1
Gm21055	0	0	0	19	0	0	0	0	0	0	0	2
Gm21056	0	0	2	5	0	0	2	3	0	6	2	1
Gm21057	77	55	58	33	76	24	66	34	50	94	70	66
Gm2106	1	5	3	0	4	0	2	1	9	3	5	0
Gm21060	0	0	0	0	0	0	1	0	0	0	0	0
Gm21063	0	0	0	0	0	0	0	0	0	0	0	0
Gm21064	0	0	0	0	0	0	0	0	0	0	0	0
Gm21065	0	0	0	0	0	0	0	0	0	0	0	0
Gm21070	0	0	0	0	0	0	0	0	0	0	0	0
Gm21076	0	0	0	0	0	0	0	0	0	0	0	0
Gm2108	0	0	0	0	0	0	1	0	0	0	0	1
Gm21083	0	0	0	0	0	0	0	0	0	0	0	0
Gm21088	0	0	0	0	0	0	0	0	0	0	0	0
Gm21089	0	0	0	0	0	0	0	0	0	0	0	0
Gm2109	2	1	4	0	1	0	2	5	1	2	3	0
Gm21092	52	127	139	119	163	104	193	64	145	173	157	148
Gm21093	0	0	0	0	0	0	0	0	0	0	0	0
Gm21094	0	0	0	0	0	0	0	0	0	0	0	0
Gm21095	0	0	0	0	0	0	0	0	0	0	0	0
Gm21103	0	0	0	0	0	0	0	0	2	0	2	0
Gm21111	0	0	0	0	0	0	0	0	0	0	0	0
Gm21112	0	8	6	0	8	0	5	4	4	7	12	8
Gm21114	0	0	0	0	0	0	0	0	0	0	0	0
Gm21115	0	0	0	0	0	0	0	0	0	1	0	0
Gm21117	0	0	0	0	0	0	0	0	0	0	0	0
Gm21118	0	0	0	0	0	0	0	0	0	0	0	0
Gm21119	1	0	0	0	0	0	0	2	0	1	3	4
